sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
Details of my tax proposals are given in the Annexure.,,,,,,Details; Annexure,tax proposals; given; details; proposals,
"As a result of these proposals, revenue of about ₹ 1 lakh crore in direct 
taxes and ₹ 2600 crore in indirect taxes will be forgone.",₹ 1 lakh,1,lakh,,,,taxes; crore; result; indirect taxes,about ₹ 1(MONEY); 2600(MONEY)
"Mr. Speaker Sir, with this, I commend the budget to this august House.",,,,,,Speaker Sir; House,house; august; budget,august(DATE); House(ORG)
"Jai Hind.  
  
 29  
 
Annexures to Part A  
Annexure A  
Building Rural Prosperity and Resilience  
The programme will focus at:  
1) catalyzing enterprise development, employment and financial independence 
for rural women;  
2) accelerating creation of new employment and businesses for young farmers 
and rural youth;  
3) nurturing and modernizing agriculture for productivity improvement and 
warehousing, especially for marginal and small farmers; and  
4) diversifying opportunities for landless families.",,,,,,"Jai Hind; Annexures; Part; Annexure; Building Rural Prosperity; Resilience  
The",rural; farmers; employment; building rural,Jai Hind(PERSON); 29(CARDINAL); 2(CARDINAL); 3(CARDINAL)
"Annexure B  
Mission for Aatmanirbharta in Pulses  
The Mission will place emphasis on:  
1) development and commercial availability of climate resilient seeds,  
2) enhancing protein content,  
3) increasing productivity,  
4) improving post -harvest storage and management, and  
5) assuring remunerative prices to the farmers.",rs.,.,,,,"Annexure; Mission; Aatmanirbharta; Pulses  
The Mission",mission; remunerative; aatmanirbharta; aatmanirbharta pulses,2(CARDINAL); 3(CARDINAL)
"30  
 
Annexure C  
India Post as a Catalyst for the Rural Economy  
The expanded range of services will include:  
1) rural community hub colocation;  
2) institutional account services;  
3)",,,,,,"Annexure; India Post; Catalyst; Rural Economy  
The",rural; services; catalyst rural; catalyst,"30(CARDINAL); C  
India Post(ORG); Catalyst(FAC); 2(CARDINAL); 3(CARDINAL)"
"DBT, cash out and EMI pick -up; 
4) credit services to micro enterprises;  
5) insurance; and  
6) assisted digital services.",,,,,,,services; micro; enterprises; digital,DBT(ORG); EMI(ORG); 4(CARDINAL); 5(CARDINAL); 6(CARDINAL)
"Annexure D  
 
 
Annexure E  
Manufacturing Mission - Furthering “Make in India",,,,,,Make in India; Annexure; Manufacturing Mission; Furthering; Make; India,annexure; furthering make; furthering; make india,India(GPE)
"The Mission’s mandate will include 5 focus areas:  
1) ease and cost of doing business;  
2) future ready workforce for in -demand jobs;  
3) a vibrant and dynamic  MSME sector;  
4) availability of technology; and  
5) quality products.",,,,,,The Mission,future; demand; include; technology,5(CARDINAL); 2(CARDINAL); 3(CARDINAL); MSME(ORG); 4(CARDINAL)
"31  
 
Annexure to Part B  
Amendments relating to Indirect Taxes  
A. LEGISLATIVE CHANGES IN CUSTOMS LAWS  
A.1       Amendments in the Customs Act, 1962  
(i)",,,,,,Annexure; Part; Amendments; Indirect Taxes; Customs Act,amendments; customs; laws; indirect taxes,"31(CARDINAL); Indirect Taxes  
A. LEGISLATIVE(ORG); the Customs Act(LAW); 1962(DATE)"
"A new sub -section (1B) is being inserted in Section 18 to 
provide time limit of two years for finalization of provisional 
assessment.",,,,,,Section,section; limit years; provisional assessment; provisional,1B(CARDINAL); Section 18(LAW); two years(DATE)
"It also provides that this time limit may be 
extended by the Commissioner of Customs for a further 
period of one year if s ufficient cause is shown.",,,,,,Commissioner; Customs,provides; extended; customs; time limit,the Commissioner of Customs(ORG); one year(DATE)
"It further 
provides that, for the pending cases, the time -limit shall be 
computed from the date of assent of the Finance Bill, 2025.",,,,,Finance Bill,Finance Bill,provides; finance; cases; date,Bill(PERSON); 2025(DATE)
(ii),,,,,,,ii,
"A new sub -section (1C) is being inserted to provide for certain 
grounds on which the time -limit of two years for finalizing 
provisional assessment shall remain suspended.",,,,,,,limit years; inserted provide; provisional assessment; provisional,1C(CARDINAL); two years(DATE)
"(iii) A new section 18A is being inserted for voluntary revision of 
entry after clearance of goods to allow importers and 
exporters to revise any entry made in relation to the goods 
within a prescribed time and subject to conditions as may be 
prescribed.",,,,,,,prescribed; entry; goods; new section,section 18A(LAW)
"It also  provides for treating such revised entry as 
self-assessment and allow payment of duty or treat the 
revised entry as a refund claim under section 27.",,,,,,,revised entry; revised; entry; refund,section 27(LAW)
"It further 
provides for certain cases where this section will not apply.",,,,,,,certain cases; provides; apply; cases,
"(iv) A new Explanation is being inserted in sub -section 1 of section 
27 to clarify that the period of limitation for claim of refund 
consequent to the revised entry under section 18A or 
amendment under Section 149 of the Customs Act, 1962, shall 
be one year from the d ate of payment of duty or interest.",,,,,,Explanation; Section; Customs Act,section; refund; section 18a; revised entry,1(CARDINAL); 27(CARDINAL); section 18A(LAW); Section 149(LAW); the Customs Act(LAW); 1962(DATE); one year(DATE)
"(v) A new clause is being inserted in Explanation 1 to Section 28 
to provide that the relevant date in the case of payment of 
duty as per the revised entry under section 18A is the date of 
payment of duty or interest.",,,,,,Explanation; Section,payment duty; payment; date; duty,Explanation 1 to Section 28(LAW); section 18A(LAW)
"(vi) A new clause is being inserted after clause (d) and (e) of 
section 127A to define Interim Board, Member of the Interim 
Board and pending applications.",,,,,,"Interim Board; Member; Interim 
Board",interim board; interim; clause; board,"section 127A(LAW); Interim Board(ORG); the Interim 
Board(ORG)"
(vii),,,,,,,vii,
"A new sub -section (6) is being inserted after sub -section (5) in 
section 127B to provide end date for receipt of applications 
under this section.",,,,,,,section; sub section; sub; end date,6(CARDINAL); 5(CARDINAL); section 127B(LAW)
"32  
 
(viii)",,,,,,,32,32(CARDINAL)
"A new sub -section (12) is being inserted after sub -section (11) 
in section 127C to make applicable the sub -sections of Section 
127C of the Customs Act, 1962 to the Interim Board.",,,,,,Section; Customs Act; Interim Board,section; sub; sub section; section 12,12(CARDINAL); 11(CARDINAL); 127C(CARDINAL); the Customs Act(LAW); 1962(DATE); the Interim Board(ORG)
"A new sub -section (3) is being inserted after sub -section (2) in 
section 127D clarifying that the powers of Settlement 
Commission shall be exercised by the Interim Board and the 
provisions of this section shall, mutatis mutandis, apply to the 
Interim Board as they apply to the Settlement Commission.",,,,,,"Settlement 
Commission; Interim Board; Settlement Commission",section; settlement commission; settlement; commission,"3(CARDINAL); 2(CARDINAL); section 127D(LAW); Settlement 
Commission(ORG); the Interim Board(ORG); Interim Board(ORG); the Settlement Commission(ORG)"
"(x) A new sub -section (5) is being inserted after sub -section (4) of 
section 127F providing that the powers and functions of 
Settlement Commission shall be exercised or performed by 
the Interim Board .",,,,,,Settlement Commission; Interim Board,section; sub section; sub; functions,5(CARDINAL); 4(CARDINAL); section 127F(LAW); Settlement Commission(ORG); the Interim Board(ORG)
"(xi) A Proviso to section 127G of the Customs Act, 1962 is being 
inserted to provide that the powers and functions of 
Settlement Commission under this section shall be exercised 
or performed by the Interim Board.",,,,,,Proviso; Customs Act; Settlement Commission; Interim Board,section; powers functions; exercised performed; functions,Proviso(ORG); the Customs Act(LAW); 1962(DATE); the Interim Board(ORG)
"A new sub -section (4) is being inserted after sub -section (3) in 
section 127H of the Customs Act, 1962 to provide that the 
powers and functions of Settlement Commission under this 
section shall be exercised or performed by the Interim Board .",,,,,,Customs Act; Settlement Commission; Interim Board,section; sub section; sub; exercised performed,4(CARDINAL); 3(CARDINAL); section 127H(LAW); the Customs Act(LAW); 1962(DATE); Settlement Commission(ORG); the Interim Board(ORG)
"These changes shall come into effect from date of assent to the 
Finance Bill, 2025  
A.2        Amendments in the Customs Tariff Act, 1975  
a)",,,,,Finance Bill,These; Finance Bill; Amendments; Customs Tariff Act,customs tariff; come; changes; finance,Bill(PERSON); 2025(DATE); the Customs Tariff Act(ORG); 1975(DATE)
"The First Schedule to the Customs Tariff Act, 1975 is being 
amended to, -  
(i) revise tariff rates on certain industrial tariff items  
(ii) add 178 new tariff entries in chapter 10, 20, 27, 28, 29, 38 
and 71 and substitute/delete 63 tariff entries; insert 
supplementary notes in chapter 10, 20, 29 and 38 and 
amend 2 supplementary notes.",,,,,,The First Schedule; Customs Tariff Act,tariff; chapter; notes; 10 20,"The First Schedule(ORG); the Customs Tariff Act(LAW); 1975(DATE); 178(CARDINAL); chapter 10, 20(LAW); 27(DATE); 28(DATE); 29(DATE); 38(CARDINAL); 71(CARDINAL); 63(CARDINAL); chapter 10, 20(LAW); 29(DATE); 38(DATE); 2(CARDINAL)"
"This is to align the tariff 
lines with WCO classification and better identification of 
goods.",,,,,,This,tariff lines; classification; lines; better,
These changes shall come into effect from 1.5.2025.,,,,,,These,effect 2025; come; changes; effect,1.5.2025(CARDINAL)
"33  
 
B. LEGISLATIVE CHANGES IN GST LAWS",,,,,,GST,laws; 33; changes,33(CARDINAL)
"[Save as otherwise provided, these changes will be brought into effect from 
a date to be notified in coordination with States, as per recommendations of 
the GST council]",,,,,,GST; Save; States,brought; changes; effect; date,States(GPE); GST(ORG)
"AMENDMENT FOR TRADE FACILITATION  
B.1      Amendments in section 2 of the CGST Act, 2017:  
 
a) Clause (61) is being amended to explicitly provide for distribution of 
input tax credit by the Input Service Distributor in respect of inter -
state supplies on which tax has to be paid on reverse charge basis, by 
inserting reference to sub -section (3) and sub -section (4) of section 5 
of Integrated Goods and Services Tax Act.",,,,,,GST; Amendments; Act; Clause; Input Service Distributor; Integrated Goods; Services Tax Act,section; input; tax; sub section,the CGST Act(LAW); 2017(DATE); 61(DATE); the Input Service Distributor(ORG); 3(CARDINAL); 4(CARDINAL); section 5(LAW); Integrated Goods and Services Tax Act(ORG)
"This amendment will be 
effective from 1 st April, 2025.",,,,,,This; April,amendment; effective; 2025,"1 st April, 2025(DATE)"
"b) Clause ( 69) (c) is being amended to  insert an Explanation to provide 
for definitions of the terms 'Local Fund' and 'Municipal Fund' used in 
the definition of ""local authority"" under the said clause so as to clarify 
the scope of the said terms.",,,,,,Clause; Explanation; Local Fund; Municipal Fund,terms; said; clause; fund,69(CARDINAL)
"A new clause (112A) is being inserted to provide definition of Unique 
Identification Marking for implementation of Track and Trace 
Mechanism  
B.2 Amendments in Section 12 and 13 of the CGST Act, 2017  
Sub-section (4) of Section 12 and Sub -section (4) of Section 13 relating 
to time of supply in respect of vouchers are being omitted.",,,,,,"GST; Unique 
Identification Marking; Track; Trace 
Mechanism; Amendments; Section; Act; Sub",section; section 12; section section; 13,"112A(CARDINAL); Track and Trace 
Mechanism  
B.2 Amendments in Section 12(WORK_OF_ART); 13(CARDINAL); the CGST Act(LAW); 2017(DATE); 4(CARDINAL); Section 12(LAW); 4(CARDINAL); Section 13(LAW)"
"B.3 Amendments in Section 17 of the CGST  Act, 2017  
Clause (d) of sub -section (5) is being amended to substitute the words 
""plant or machinery"" with the words ""plant and machinery"" with effect 
from 1st July, 2017.",,,,,,GST; Amendments; Section; Act; Clause; July,plant; words; machinery; 2017,"B.3 Amendments(ORG); Section 17(LAW); 2017(DATE); 5(CARDINAL); 1st July, 2017(DATE)"
"B.4 Amendments in Section 20 of the CGST Act, 2017  
Section 20(1) and Section 20(2) are being amended to explicitly provide 
for distribution of input tax credit by the Input Service Distributor in 
respect of inter -state supplies, on which tax has to be paid on reverse 
charge basis, by inserting reference to  sub-section (3) and sub -section 
(4) of section 5 of Integrated Goods and Services Tax Act in sub -section 
(1) of section 20.",,,,,,GST; Amendments; Section; Act; Input Service Distributor; Integrated Goods; Services Tax Act,section; section 20; 20; sub section,the CGST Act(LAW); 2017(DATE); Section 20(2(LAW); the Input Service Distributor(ORG); 3(CARDINAL); 4(CARDINAL); section 5(LAW); Integrated Goods and Services Tax Act(ORG); 1(CARDINAL); section 20(LAW)
"The amendment will be effective from 1st April, 2025.",,,,,,The; April,1st; amendment; effective; 2025,"from 1st April, 2025(DATE)"
"34  
 
B.5 Amendments in Section 34 of the CGST Act, 2017  
The Proviso to sub -section (2) is being amended to explicitly provide 
for requirement of reversal of corresponding input tax credit in respect 
of a credit -note, if availed, by the registered recipient, for the purpose 
of reduction of tax liability of the s upplier in respect of the said credit 
note.",,,,,,GST; Amendments; Section; Act; The Proviso,credit; note; 34; respect,34(CARDINAL); B.5 Amendments(ORG); Section 34 of the CGST Act(LAW); 2017(DATE); 2(CARDINAL)
"B.6 Amendments in Section 38 of the CGST Act, 2017  
a) Section 38(1) is being amended to omit the expression ""auto -
generated"".",,,,,,GST; Amendments; Section; Act,section 38; 38; section; expression,Section 38 of the CGST Act(LAW); 2017(DATE)
"b) Section 38(2) is being amended to omit the expression ""auto -
generated"" and to insert the expression ""including"" after the words 
""by the recipient"" in clause (b) to make the said clause more inclusive.",,,,,,Section,expression; clause; inclusive; section 38,
"c) Section 38(2) is also being amended to insert a new clause (c) to 
provide an enabling clause to prescribe other details to be made 
available in statement of input tax credit.",,,,,,Section,clause; prescribe; section 38; provide enabling,
"B.7 Amendments in Section 39 of the CGST Act, 2017  
Section 39(1) is being amended to provide an enabling clause to 
prescribe certain conditions and restriction for filing of return.",,,,,,GST; Amendments; Section; Act,39; section; prescribe; provide enabling,B.7 Amendments(ORG); Section 39(LAW); the CGST Act(LAW); 2017(DATE)
"Amendments in Section 107 and 112 of the CGST Act, 2017  
a) Section 107(6) is being amended to provide for 10% mandatory pre -
deposit of penalty amount for appeals before Appellate Authority in 
cases involving only demand of penalty without any demand for tax.",,,,10%,,GST; Amendments; Section; Act; Appellate Authority,107; demand; penalty; section,Section 107 and 112(LAW); the CGST Act(LAW); 2017(DATE); Section 107(6(LAW); 10%(PERCENT); Appellate Authority(ORG)
"b) Section 112(8) is amended to provide for 10% mandatory pre -deposit 
of penalty amount for appeals before Appellate Tribunal in cases 
involving only demand of penalty without any demand for tax.",,,,10%,,Section; Appellate Tribunal,demand; penalty; appellate; 112,Section 112(8(LAW); 10%(PERCENT); Appellate Tribunal(ORG)
"B.9 Insertion of a new section 122B of the CGST Act, 2017  
A new Section 122B is being inserted to provide penalties for 
contraventions of provisions related to the Track and Trace 
Mechanism provided under section 148A.  
B.10 Insertion of a new section 148A of the CGST Act, 2017  
Section 148A is being inserted to provide for enabling mechanism for a 
Track and Trace Mechanism for specified commodities.  
 
 
 35  
 
B.11 Amendments in Schedule III of the CGST Act,2017  
Schedule III is being amended, w.e.f.",,,,,,"GST; Insertion; Act; Section; Track; Trace 
Mechanism; Trace Mechanism; Amendments; Schedule",148a; section 148a; new section; section,"section 122B of the CGST Act(LAW); 2017(DATE); Section 122B(LAW); Track(WORK_OF_ART); section 148A.  
B.10 Insertion(LAW); the CGST Act(LAW); 2017(DATE); Track and Trace Mechanism for(WORK_OF_ART)"
"01.7.2017 to,₋  
a) insert a new Entry (aa) in paragraph 8 to provide that the supply of 
goods warehoused in a Special Economic Zone or in a Free Trade 
Warehousing Zone to any person before clearance for exports or to 
the Domestic Tariff Area shall be treated neither as suppl y of goods 
nor as supply of services.",,,,,,"Entry; Special Economic Zone; Free Trade 
Warehousing Zone; Domestic Tariff Area",zone; supply; goods; area,8(CARDINAL); the Domestic Tariff Area(ORG)
"b) Amend Explanation 2, w.e.f. 01.07.2017 to clarify that the said 
explanation would be applicable in respect of entry (a) of paragraph 8.",,,,,,Amend Explanation,explanation; 01; clarify; amend,8(CARDINAL)
"c) Insert Explanation 3 to define the terms 'Special Economic Zone', 
'Free Trade Warehousing Zone' and 'Domestic Tariff Area', for the 
purpose of the proposed entry (aa) in paragraph 8.  
d)",,,,,,Insert Explanation; Special Economic Zone; Free Trade Warehousing Zone; Domestic Tariff Area,zone; economic zone; area; terms,Insert Explanation(PERSON); 3(CARDINAL); 8(CARDINAL)
"To provide that no refund of tax already paid will be available for the 
transactions referred above.",,,,,,,refund; tax paid; referred; paid,
"C. OTHER PROVISIONS IN THE FINANCE BILL  
C.1 Special Provision for Exemption from Service Tax in Certain Cases:  
Services provided or agreed to be provided by insurance companies by 
way of reinsurance services under the Weather Based Crop Insurance 
Scheme (WBCIS) and the Modified National Agricultural Insurance 
Scheme (MNAIS), are being  exempted from service tax for  the period 
commencing from 1st April, 2011 and ending with 30th June, 2017.",,,,,,Special Provision; Exemption; Service Tax; Certain Cases; Services; Weather Based Crop Insurance; Scheme; Modified National Agricultural Insurance; April; June,insurance; service; provided; services,"FINANCE(ORG); the Modified National Agricultural Insurance 
Scheme(ORG); MNAIS(ORG); 1st April, 2011(DATE); 30th June, 2017(DATE)"
"D. CUSTOMS DUTY RATE CHANGES  
D.1.",,,,,,,customs duty; changes; customs; duty,D. CUSTOMS(ORG)
"Reduction in customs duty to reduce input costs, deepen value 
addition, promote export competitiveness, correct inverted duty 
structure, boost domestic manufacturing etc",,,,,,Reduction,duty; domestic manufacturing; competitiveness; input,
"[with effect from 
2.2.2025]  
S. 
No. Commodity  From  
(per cent)",,,,,,Commodity  From,effect 2025; commodity cent; 2025 commodity; effect,2.2.2025(CARDINAL)
"To 
(per cent)  
I. Aquafarming & Marine exports  
1.",,,,,,Aquafarming; Marine,exports; cent,I. Aquafarming & Marine(ORG); 1(CARDINAL)
"Frozen fish paste (surimi) for 
manufacture of surimi analogue 
products for export  30 5 
 36  
 
S. 
No. Commodity  From  
(per cent)",,,,,,Frozen; Commodity  From,surimi; commodity cent; fish; 36,Frozen(PRODUCT); 30 5(DATE); 36(CARDINAL)
"To 
(per cent)  
2. Fish hydrolysate for manufacture of 
aquatic feed  15 5 
II.",,,,,,Fish,fish; ii; manufacture; 15,"2(CARDINAL); 15 5 
II(DATE)"
"Chemicals  
1.",,,,,,Chemicals,,1(CARDINAL)
"Other compounds containing a 
pyrimidine ring (whether or not 
hydrogenated) or piperazine ring in 
the structure classified under tariff 
sub heading 2933 59  10 7.5 
2.",,,,,,Other,59; sub heading; tariff sub; classified tariff,2933 59(DATE); 2(CARDINAL)
"Synthetic flavouring essences and 
mixtures of odoriferous substances 
of a kind used in food or drink 
industries classified under tariff sub 
heading 3302 10  100 20 
3.",,,,,,Synthetic,sub heading; tariff sub; used; classified tariff,3302(DATE); 10  100 20(CARDINAL); 3(CARDINAL)
"Sorbitol classified under tariff 
subheading 3824 60  30 20 
III.",,,,,,Sorbitol,classified tariff; 60; classified; iii,Sorbitol(PERSON); 3824 60  30 20(DATE)
"Waste and Scrap of Critical Minerals and others  
1. Waste and scrap of Antimony, 
Beryllium, Bismuth, Cobalt, 
Cadmium, Molybdenum, Rhenium, 
Tantalum, Tin, Tungsten, Zirconium, 
Copper scrap covered under tariff 
items 74040012, 74040019 and 
74040022  10/5/2.5","rs  
1.",1.,,,,GST; Waste; Scrap; Critical Minerals; Antimony; Beryllium; Bismuth; Cobalt; Cadmium; Molybdenum; Rhenium; Tantalum; Tin; Tungsten; Zirconium; Copper,scrap; waste; waste scrap; cobalt,"Scrap of Critical Minerals(ORG); Antimony(PERSON); Cadmium, Molybdenum, Rhenium(ORG); Tantalum(PERSON); Tungsten(GPE); 74040012(DATE); 74040019(DATE); 74040022(CARDINAL); 10/5/2.5(CARDINAL)"
"Nil 
2. Waste and scrap of Lithium -Ion 
Battery  5 Nil 
3.",,,,,,"Nil; Waste; Lithium; Ion 
Battery",nil; nil waste; scrap; waste scrap,2(CARDINAL); Lithium(GPE); 5(CARDINAL); 3(CARDINAL)
"Cobalt powder  5 Nil 
4. Waste and scrap of Lead  5 Nil 
5. Waste and scrap Zinc  5 Nil 
IV.",,,,,,Cobalt; Nil; Waste; Lead; Zinc,nil; nil waste; waste; waste scrap,5(CARDINAL); 5(CARDINAL); 5(CARDINAL); 5(CARDINAL)
"Drugs and Medicines  
1.",,,,,,Drugs; Medicines,drugs medicines; drugs; medicines,1(CARDINAL)
"Addition of 6 more medicines in List 
3 and bulk drugs for their 
manufacture  As 
applicable  5 
 37  
 
S. 
No. Commodity  From  
(per cent)",,,,,,Addition; List; Commodity  From,bulk; bulk drugs; commodity cent; medicines list,6(CARDINAL); 3(CARDINAL); 5(CARDINAL); 37(CARDINAL)
"To 
(per cent)  
2.",,,,,,,cent,2(CARDINAL)
"Addition of 36 more medicines in List 
4 and bulk drugs for their 
manufacture  As 
applicable  Nil 
3.",,,,,,Addition; List; Nil,bulk drugs; bulk; medicines list; applicable nil,36(CARDINAL); 3(CARDINAL)
"Addition of 37 more medicines and 
13 Patient Assistance Programmes in 
the list of duty free imports by 
pharmaceutical companies for 
supply free of cost to patients  As 
applicable  Nil 
V. Precious Metals  
1.",,,,,,Addition; Patient Assistance Programmes; Nil; Precious Metals,free; duty free; programmes; assistance,37(CARDINAL); 13(CARDINAL); 1(CARDINAL)
"Platinum findings  25 6.4 
(5 BCD + 1.4 
AIDC)  
VI.",,,,,,Platinum,vi; bcd; aidc; 25,25(CARDINAL); 5(CARDINAL); BCD(ORG); 1.4(CARDINAL)
"Textile, Handicraft and Leather Sector  
1.",,,,,,Textile; Handicraft; Leather Sector,textile; leather; sector,Handicraft(ORG); 1(CARDINAL)
"Wet blue leather  10 Nil 
2.",,,,,,Wet; Nil,leather; nil; 10,10(CARDINAL); 2(CARDINAL)
"Shuttle less loom Rapier Looms 
(below 650 meters per minute) and 
Shuttle less loom Air jet Looms 
(below 1000 meters per minute) for 
use in textile industry  7.5 Nil 
3.",,,,,,Shuttle; Rapier Looms; Air; Looms; Nil,meters; textile; industry; use,Rapier Looms(PRODUCT); 650 meters(QUANTITY); Air(ORG); Looms(ORG); below 1000 meters per minute(QUANTITY); 7.5(CARDINAL); 3(CARDINAL)
"Certain additional items for duty free 
import by bonafide exporters for 
manufacture of handicrafts   As 
applicable  Nil 
VII.",,,,,,Certain; Nil,vii; handicrafts; duty free; import,
"Capital Goods  
1.",,,,,,Capital Goods,capital goods; capital; goods,Capital Goods(ORG); 1(CARDINAL)
"Addition of 35 capital 
goods/machinery for use in the 
manufacture of lithium -ion battery 
of EVs and 28 capital 
goods/machinery for use in the 
manufacture of lithium -ion battery 
of mobile phones",,,,,,Addition,capital goods; use manufacture; machinery; ion,35(CARDINAL); 28(CARDINAL)
"As 
applicable  Nil 
VIII.",,,,,,Nil,applicable nil; applicable; nil,
"IT and Electronics  
1.",,,,,,Electronics,electronics,1(CARDINAL)
"Inputs/ parts and sub -parts of PCBA, 
camera module, connectors and 
inputs or raw materials for use in 2.5 Nil 
 38  
 
S. 
No. Commodity  From  
(per cent)",,,,,,Inputs; Nil; Commodity  From,inputs; parts; module; commodity cent,2.5(CARDINAL); 38(CARDINAL)
"To 
(per cent)  
manufacture of wired headset, 
microphone and receiver, USB cable, 
fingerprint reader/ sensor of cellular 
mobile phone  
2.",,,,,,,mobile; manufacture; cent,USB(ORG); 2(CARDINAL)
"Specified inputs/parts (chip on film, 
PCBA, glass board / substrate cell) for 
use in manufacture of open cells of 
TV panels  of LED/LCD TV  2.5 Nil 
3.",,,,,,Specified; Nil,cell; open cells; use manufacture; led,2.5(CARDINAL); 3(CARDINAL)
"Ethernet Switches Carrier -Grade  20 10 
4.",,,,,,Ethernet Switches Carrier; Grade,carrier grade; switches; carrier; grade,"20 10 
4(DATE)"
"Open cell (with or without touch) for 
interactive Flat Panel Display 
module, Touch Glass sheet and 
Touch Sensor PCB for use in 
manufacture of Interactive Flat Panel 
Display module  15/10  5 
IX.",,,,,,"Open; Flat Panel Display; Touch Glass; Touch Sensor; Interactive Flat Panel 
Display",touch; interactive flat; panel display; interactive,Flat Panel(ORG); Touch Glass(PERSON); PCB(ORG); Interactive Flat Panel(ORG); 15/10  5(CARDINAL)
"Space Sector  
1.",,,,,,Space Sector,sector,1(CARDINAL)
"Ground installation for satellites 
including its spares and consumables  As 
applicable  Nil 
2.",,,,,,Ground; Nil,applicable nil; applicable; including; nil,2(CARDINAL)
"Goods used in the building of launch 
vehicles and launching of satellites  5 Nil 
X. Motorcycles  
1. (i) Engine capacity not 
exceeding  1600 CC (CBU)  
(ii) Semi -knocked down (SKD)  
(iii) Completely knocked down 
(CKD)  50 
25 
15 40 
20 
10 
2 (i)",,,,,,Goods; Nil; Motorcycles; Engine; Semi; Completely,knocked; exceeding; motorcycles; 40 20,"5(CARDINAL); 1600(DATE); CBU(ORG); SKD(ORG); 50 
25(CARDINAL); 15 40 
20(CARDINAL)"
"Engine capacity   1600 CC & 
above (CBU)  
(ii) Semi -knocked down (SKD)  
(iii) Completely knocked down 
(CKD)  50 
25 
15 30 
20 
10 
 39  
 
D.2.",,,,,,Engine; Semi; Completely,knocked; 39; cbu; 20 10,"1600(CARDINAL); CC & 
above ((ORG); SKD(ORG); 50 
25(CARDINAL); 15 30 
20(CARDINAL); D.2(WORK_OF_ART)"
"Increase in Customs duty [with effect from 02.02.2025]  
S. 
No. Commodity  
 Rate of duties  
From  
(per cent)",,,,,,"Increase; Customs; Commodity  
 Rate; From",02; effect 02; 02 02; 02 2025,Customs(ORG); 02.02.2025(CARDINAL); Rate(PERSON)
"To 
(per cent)  
I. Textiles  
1.",,,,,,Textiles,textiles; cent,1(CARDINAL)
"Knitted Fabrics covered under tariff 
items 6004 10 00, 6004 90 00, 6006 22 
00, 6006 31 00, 6006 32 00, 6006 33 00, 
6006 34 00, 6006 42 00 and 6006 90 00  10/20  20 or Rs 
115 per 
kg, 
whichever 
is higher  
II Electronics  
1 Interactive Flat Panel Display classified 
under tariff item 8528 59 00  (CBU)  10 20 
 
D.3.","Rs 
115",115,,,,Knitted Fabrics; Electronics; Interactive Flat Panel Display,6006; 00 6006; 00; 10 20,"Knitted Fabrics(ORG); 6004 10 00, 6004 90 00, 6006 22 
00, 6006 31 00, 6006 32 00, 6006 33 00(DATE); 6006(DATE); 34 00, 6006 42 00 and 6006 90 00(DATE); 10/20  20(CARDINAL); 115(CARDINAL); 8528(DATE); CBU(ORG); 10(CARDINAL)"
"Decrease in Tariff rate with no change in Effective rate [With effect 
from 02.02.2025]  
 
S. 
No. Commodity  Rate of duties  
From  
(per cent)",,,,,,Decrease; Tariff; Effective; With; Commodity  Rate; From,rate; 02; change; change effective,Effective(NORP); 02.02.2025(CARDINAL)
"To 
(per cent)  
1. Glycerol crude, glycerol waters, 
glycerol lye covered by tariff item 1520 
00 00  30 
 20 
 
2.","rs,",",",,,,Glycerol,glycerol; 00; tariff item; item,"1(CARDINAL); 1520(DATE); 00 00(DATE); 30(CARDINAL); 20 
 
2(DATE)"
"Phosphoric Acid  20 7.5 
3.",,,,,,Phosphoric Acid,20,Phosphoric Acid  (PERSON); 20 7.5(CARDINAL); 3(CARDINAL)
"Other – Prepared Binders, chemical 
products and preparations of chemical 
or allied industries covered under tariff 
item 3824 99 00  17.5  7.5 
4.","rs,",",",,,,Other; Prepared Binders,99; 17; tariff item; item,3824(DATE); 99 00(CARDINAL); 17.5(CARDINAL); 7.5(CARDINAL); 4(CARDINAL)
"Marble and travertine, granite, crude 
or roughly trimmed, merely cut into 
blocks, slabs and other (tariff sub 
heading 2515 12 and tariff items, 2525 
11 00, 2516 11 00, 2516 12 00 )",,,,,,Marble,00; 11; 12; tariff,"2515 12(DATE); 2525(DATE); 11 00, 2516 11(DATE); 00, 2516 12 00(DATE)"
"40 
 20 
(+20 AIDC)  
 40  
 
5.",,,,,,,40; 20; 40 20; 20 20,40(CARDINAL); 40(CARDINAL)
"Candles, tapers and the like covered by 
tariff heading 3406  25 
(+2.5 SWS)  20 
(+7.5 AIDC)  
6.",,,,,,Candles,25 sws; covered tariff; 20 aidc; tariff heading,3406(CARDINAL); 25(CARDINAL); 20(CARDINAL); 6(CARDINAL)
"Other reference materials  30 10 
7. PVC flex films including PVC flex banner 
and PVC flex sheets (tariff headings 
3920, 3921)  25 
(+2.5 SWS)  20 
(+7.5 AIDC)  
8.",,,,,,Other,pvc flex; pvc; flex; reference,30 10(DATE); PVC(ORG); PVC(ORG); 3920(DATE); 3921(DATE); 25(CARDINAL); 20(CARDINAL); 8(CARDINAL)
"Footwear covered under tariff 
headings 6401 to 6405  35 
(+3.5 SWS)  20 
(+18.5 
AIDC)  
9.",,,,,,Footwear,footwear; 18; 35; covered tariff,6401(DATE); 6405(DATE); 35(CARDINAL); 20(CARDINAL); 9(CARDINAL)
